"","Date","Team","Acquired","Relinquished","Notes"
"1583","2012-03-16","Nets","","Brook Lopez","sprained right ankle (DNP) (F P)"
"1588","2012-03-16","Warriors","","Stephen Curry","sprained right ankle (DNP)"
"1598","2012-03-17","Raptors","","Jose Calderon","sprained right ankle (DNP) (F)"
"1601","2012-03-17","Warriors","","Stephen Curry","sprained right ankle (DNP)"
"1612","2012-03-19","Warriors","","Stephen Curry","sprained right ankle (DNP)"
"1615","2012-03-20","Heat","","Joel Anthony","sprained left ankle (DNP)"
"1619","2012-03-21","Cavaliers","","Daniel Gibson","sprained left ankle (DNP) (F P)"
"1627","2012-03-21","Pistons","","Charlie Villanueva","ankle injury (DTD)"
"1631","2012-03-21","Warriors","","Stephen Curry","sprained right ankle (DNP) (P)"
"1637","2012-03-22","Warriors","","Stephen Curry","sprained right ankle (DNP) (P)"
"1656","2012-03-24","Hornets","","Trevor Ariza","sore right ankle (DNP)"
"1661","2012-03-24","Raptors","","DeMar DeRozan","sore left ankle (DNP)"
"1668","2012-03-24","Warriors","","Stephen Curry","sprained right ankle (DNP) (F)"
"1670","2012-03-25","Cavaliers","","Daniel Gibson","sprained left ankle (DNP) (F P)"
"1678","2012-03-25","Warriors","","Stephen Curry","sprained right ankle (DNP) (F)"
"1680","2012-03-25","Celtics","","Ray Allen","sore right ankle (DNP)"
"1684","2012-03-26","Celtics","","Ray Allen","sore right ankle (DNP)"
"1690","2012-03-26","Raptors","","DeMar DeRozan","sore left / right ankle (DNP)"
"1696","2012-03-27","Cavaliers","","Daniel Gibson","sprained left ankle (DNP) (F P)"
"1707","2012-03-28","Cavaliers","","Daniel Gibson","torn tendon in left ankle (DNP)"
"1708","2012-03-28","Celtics","","Ray Allen","sore right ankle (DNP)"
"1712","2012-03-28","Hornets","","Trevor Ariza","sore right ankle (DNP)"
"1726","2012-03-29","Hornets","","Jarrett Jack","sore right ankle (DNP)"
"1727","2012-03-29","Hornets","","Trevor Ariza","sore right ankle (DNP)"
"1731","2012-03-30","Cavaliers","","Daniel Gibson","torn tendon in left ankle (DNP)"
"1733","2012-03-30","Celtics","","Ray Allen","sore right ankle (DNP)"
"1750","2012-03-31","Grizzlies","","Dante Cunningham","sprained left ankle (DNP)"
"1751","2012-03-31","Grizzlies","","Mike Conley Jr.","sore right ankle (DNP)"
"1754","2012-03-31","Hornets","","Carl Landry","sprained right ankle (DNP)"
"1757","2012-03-31","Hornets","","Trevor Ariza","sore right ankle (DNP)"
"1766","2012-04-01","Celtics","","Ray Allen","sore right ankle (DNP)"
"1767","2012-04-01","Hornets","","Carl Landry","sprained right ankle (DNP)"
"1769","2012-04-01","Hornets","","Trevor Ariza","sore right ankle (DNP) (P)"
"1777","2012-04-01","Timberwolves","","Nikola Pekovic","bone spurs in right ankle (DNP)"
"1781","2012-04-02","Cavaliers","","Daniel Gibson","surgery on left foot and ankle to repair torn tendon"
"1782","2012-04-02","Grizzlies","","Dante Cunningham","sprained left ankle (DNP)"
"1783","2012-04-02","Grizzlies","","Mike Conley Jr.","sore right ankle (DNP)"
"1793","2012-04-03","Cavaliers","","Daniel Gibson","recovering from surgery on left foot and ankle to repair torn tendon (DNP)"
"1797","2012-04-03","Lakers","","Andrew Bynum","sprained left ankle (DNP)"
"1805","2012-04-04","Hornets","","Jarrett Jack","sore right ankle (P) / right foot injury (CBC) (DNP)"
