"","Date","Team","Acquired","Relinquished","Notes"
"10758","2019-11-13","Celtics","","Robert Williams III","sore right ankle (DTD)"
"10766","2019-11-14","Kings","","Caleb Swanigan","sprained left ankle (DTD)"
"10768","2019-11-14","Pelicans","","Jahlil Okafor","sprained left ankle (DTD)"
"10783","2019-11-17","Pelicans","","Jahlil Okafor","sprained left ankle (DTD)"
"10799","2019-11-21","Magic","","Aaron Gordon","bruised right ankle (out indefinitely)"
"10800","2019-11-21","Magic","","Nikola Vucevic","sprained right ankle (out indefinitely)"
"10807","2019-11-23","Jazz","","Rudy Gobert","sprained left ankle (DTD)"
"10817","2019-11-25","Celtics","","Romeo Langford","sprained right ankle (DTD)"
"10849","2019-12-01","Pelicans","","Kenrich Williams","sprained left ankle (DTD)"
"10852","2019-12-01","Wizards","","Moe Wagner","sprained left ankle (DTD)"
"10870","2019-12-04","Celtics","","Romeo Langford","sprained right ankle (DTD)"
"10888","2019-12-08","Bucks","","Dragan Bender","sprained right ankle (DTD)"
"10898","2019-12-10","Grizzlies","","Grayson Allen","sore right ankle (DTD)"
"10913","2019-12-13","Wizards","","Moe Wagner","sprained left ankle (DTD)"
"10915","2019-12-14","Grizzlies","","Jae Crowder","sore left ankle (DTD)"
"10920","2019-12-15","Mavericks","","Luka Doncic","sprained right ankle (DTD)"
"10921","2019-12-15","Pacers","","Naz Mitrou-Long ","sprained right ankle (DTD)"
"10944","2019-12-19","Suns","","Deandre Ayton","sprained right ankle (DTD)"
"10957","2019-12-22","Raptors","","Dewan Hernandez","sprained right ankle (DTD)"
"10978","2019-12-28","Thunder","","Dennis Schroder","sore right ankle (DTD)"
"11005","2020-01-05","Thunder","","Nerlens Noel","sprained left ankle (DTD)"
"11008","2020-01-05","Warriors","","Draymond Green","sprained right ankle (DTD)"
"11015","2020-01-07","Bulls","","Wendell Carter Jr.","sprained right ankle (DTD)"
"11037","2020-01-14","Thunder","","Abdel Nader","sprained left ankle (DTD)"
"11048","2020-01-17","Knicks","","R.J. Barrett","sprained right ankle (DTD)"
"11053","2020-01-18","Blazers","","C.J. McCollum","sprained left ankle (DTD)"
"11057","2020-01-18","Warriors","","Glenn Robinson III","sprained right ankle (DTD)"
"11066","2020-01-20","Thunder","","Nerlens Noel","sore left ankle (DTD)"
"11093","2020-01-27","Wizards","","Jordan McRae","sprained right ankle (DTD)"
"11107","2020-02-01","Hawks","","De'Andre Hunter","sprained left ankle (DTD)"
"11108","2020-02-01","Hornets","","P.J. Washington","sprained right ankle (DTD)"
"11109","2020-02-01","Nuggets","","Michael Porter Jr.","right ankle injury (DTD)"
"11111","2020-02-01","Suns","","Dario Saric","sprained left ankle (DTD)"
"11117","2020-02-02","Suns","","Ricky Rubio","sore right ankle (DTD)"
"11121","2020-02-04","Celtics","","Daniel Theis","sprained right ankle (DTD)"
"11122","2020-02-04","Heat","","Meyers Leonard","sprained left ankle (DTD)"
"11123","2020-02-04","Heat","","Tyler Herro","sore right ankle (DTD)"
"11127","2020-02-05","Blazers","","Nassir Little","sprained left ankle (DTD)"
"11129","2020-02-05","Nuggets","","Jerami Grant","sprained right ankle (DTD)"
"11137","2020-02-07","Hawks","","Trae Young","right ankle injury (DTD)"
"11141","2020-02-08","Pelicans","","Brandon Ingram","sprained right ankle (DTD)"
"11142","2020-02-08","Pelicans","","Zion Williamson","sprained left ankle (DTD)"
"11146","2020-02-10","Blazers","","Mario Hezonja","sprained left ankle (DTD)"
"11148","2020-02-10","Suns","","Deandre Ayton","sore left ankle (DTD)"
"11176","2020-02-22","Bulls","","Luke Kornet","sprained left ankle (DTD)"
"11192","2020-02-25","Pacers","","Naz Mitrou-Long ","sprained right ankle (DTD)"
"11193","2020-02-26","Cavaliers","","Dante Exum","sprained left ankle (out indefinitely)"
"11203","2020-02-27","Nuggets","","Noah Vonleh","right ankle injury (DTD)"
"11207","2020-02-27","Thunder","","Danilo Gallinari","sore left ankle (DTD)"
"11214","2020-02-29","Warriors","","Jordan Poole","sprained right ankle (DTD)"
"11215","2020-02-29","Warriors","","Ky Bowman","sprained right ankle (DTD)"
"11221","2020-03-01","Pistons","","Thon Maker","sprained right ankle (DTD)"
"11231","2020-03-03","Pistons","","Derrick Rose","sprained right ankle (DTD)"
"11234","2020-03-04","Nets","","Garrett Temple","sprained left ankle (DTD)"
"11240","2020-03-06","Bucks","","D.J. Wilson","sprained left ankle (DTD)"
"11249","2020-03-06","Suns","","Deandre Ayton","sprained left ankle (DTD)"
"11250","2020-03-07","Cavaliers","","Dean Wade","sprained right ankle (DTD)"
