"","code","away.pace","away.efg","away.tov","away.orb","away.ftprb","away.ortg","home.pace","home.efg","home.tov","home.orb","home.ftprb","home.ortg"
"4406","201512280MIA","92.8","0.512","11.7","34","0.329","119.6","92.8","0.526","13.3","24.4","0.295","113.1"
"4407","201512280CHI","93.6","0.466","6.6","22.4","0.17","103.7","93.6","0.506","9.3","23.9","0.184","111.1"
"4408","201512280DAL","91.9","0.506","16.6","24.3","0.165","101.3","91.9","0.512","4","12.2","0.202","112.1"
"4409","201512280SAS","96.1","0.494","13.9","16.2","0.171","98.8","96.1","0.549","15.9","16.1","0.306","105"
"4410","201512280PHO","87.6","0.585","17.2","25","0.254","115.3","87.6","0.525","15.4","34.1","0.177","110.8"
"4411","201512280UTA","97.6","0.448","16","17.4","0.163","93.2","97.6","0.375","13.1","34.1","0.381","97.3"
"4412","201512280GSW","104.9","0.458","11.5","22","0.168","98.2","104.9","0.596","15.3","27.1","0.18","116.3"
"4413","201512290NYK","87.7","0.472","9.4","33.3","0.135","109.5","87.7","0.595","10.4","20","0.177","123.2"
"4414","201512290HOU","101.2","0.505","9.8","30.4","0.212","119.6","101.2","0.618","17.6","20","0.361","113.7"
"4415","201512290MEM","79.3","0.513","13.9","21.1","0.114","102.8","79.3","0.46","7.7","34.8","0.218","113.1"
"4416","201512290OKC","101.3","0.54","11.3","37.5","0.15","121.4","101.3","0.547","9.6","27.5","0.43","129.3"
"4417","201512290DEN","97.3","0.465","11.1","18.4","0.151","95.6","97.3","0.444","16.1","25.5","0.09","89.4"
